Time (min),Radiation (Counts),Background subtracted
2,4118,4093
4,3870,3845
6,3873,3848
8,3690,3665
10,3589,3564
12,3561,3536
14,3524,3499
16,3296,3271
18,3383,3358
20,3295,3270
22,3181,3156
24,3087,3062
26,3050,3025
28,2991,2966
30,2913,2888
32,2870,2845
34,2761,2736
36,2762,2737
38,2604,2579
40,2490,2465
42,2541,2516
44,2429,2404
46,2363,2338
48,2221,2196
50,2280,2255
52,2297,2272
54,2230,2205
56,2097,2072
58,2028,2003
60,1939,1914
62,1952,1927
64,2010,1985
66,1863,1838
68,1926,1901
70,1816,1791
72,1715,1690
74,1752,1727
76,1698,1673
78,1594,1569
80,1590,1565
82,1557,1532
84,1462,1437
86,1552,1527
88,1471,1446
90,1418,1393
92,1409,1384
94,1323,1298
96,1329,1304
98,1275,1250
100,1276,1251
102,1229,1204
104,1212,1187
106,1106,1081
108,1141,1116
110,1099,1074
112,1115,1090
114,1057,1032
116,1007,982
118,1025,1000
120,993,968
122,960,935
124,934,909
126,974,949
128,931,906
130,908,883
132,849,824
134,884,859
136,838,813
138,786,761
140,773,748
142,771,746
144,794,769
146,740,715
148,712,687
150,695,670
152,677,652
154,641,616
156,649,624
158,640,615
160,638,613
162,650,625
164,675,650
166,581,556
168,559,534
170,515,490
172,520,495
174,531,506
176,524,499
178,517,492
180,493,468
